year,mean_age,age_population
1985.0,56.57142857142857,38.26623012514452
1986.0,57.57142857142857,38.446901801958234
1987.0,55.142857142857146,38.59957525301556
1988.0,52.857142857142854,38.743190327585786
1989.0,53.142857142857146,38.852431346774374
1990.0,54.142857142857146,38.95643803801404
1991.0,55.142857142857146,38.99120603126626
1992.0,56.142857142857146,38.99598313138777
1993.0,56.142857142857146,39.02732355533668
1994.0,57.142857142857146,39.10357361696876
1995.0,58.142857142857146,39.21610633907673
1996.0,56.42857142857143,39.330079319161854
1997.0,57.42857142857143,39.48201598961553
1998.0,57.57142857142857,39.65821729551263
1999.0,53.142857142857146,39.84019294066978
2000.0,54.142857142857146,39.99625616446998
2001.0,54.42857142857143,40.31647125070752
2002.0,55.42857142857143,40.45660294118255
2003.0,55.714285714285715,40.61871089014231
2004.0,60.0,40.79683983809125
