"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"25 Jahre";104068;100852;101788;99369;98537;92709;92121;90139;89935;91206;92475;94958;95657;97244;98753;100869;103983;107365;109736;108797;109490;107105;105245;102381;99549;97131;92866;88688;86851;84213;85068;86472;86665;88274;90434;90414;91664;91667;95135;95416;98900;99051;103156;103392;105541;106399;106616;103126
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"26 Jahre";101877;104631;102874;103580;100109;97686;91983;92194;90479;90545;92244;93924;96367;96434;98259;99863;102210;105645;108795;111530;112738;112082;109284;107269;104168;100893;97826;93780;89818;88356;86747;87512;88611;88776;90216;92182;92163;94850;95211;98016;100268;101829;101935;106548;106422;108900;109592;109120
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"27 Jahre";102428;102322;106213;104379;104406;99010;96897;91982;92408;90901;91457;93661;95437;97264;97561;99441;101266;103788;107329;110725;116441;115755;114498;111387;109151;105898;101616;98555;94945;91416;91022;89428;89807;90774;90754;92186;94063;95616;98907;98387;102894;103410;105164;105524;110123;109967;112685;112344
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"28 Jahre";101885;102746;103574;107249;105136;103103;98067;96780;91957;92789;91740;92949;95153;96395;98412;98841;101112;102943;105565;109421;116047;119332;118022;116606;113283;110794;106545;102470;99826;96475;94005;93835;91701;92031;92836;92667;94202;97889;100120;102254;103562;106243;106727;108816;109260;113680;113549;115664
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"29 Jahre";99146;101883;103736;104322;107787;103745;101765;97819;96804;92321;93443;92865;94220;96024;97389;99617;100309;102770;104666;107594;114272;118943;121593;120104;118294;114762;111419;107483;103570;101341;98685;96711;96016;93788;94049;94643;94856;97651;102113;103343;107052;106538;109218;110034;112188;112826;116985;116205
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"30 Jahre";94313;99022;102376;104212;104728;106063;102214;101260;97783;97145;92893;94608;94121;94968;96922;98468;100936;101809;104413;106582;112589;116950;120901;123486;121741;119704;115373;112096;108584;105180;104030;101274;98714;97924;95772;95745;96486;98153;101535;105179;107576;109784;109214;112285;113451;115214;115770;119484
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"31 Jahre";91281;94100;99291;102404;104552;103039;104129;101479;101140;98028;97796;93734;95572;94713;95760;97897;99608;102279;103281;106061;111778;114971;118802;122644;124950;122854;120258;115896;112864;109864;107390;106455;103206;100529;99740;97201;97454;99598;101732;104278;109133;110176;112363;112042;115063;116102;117891;117867
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"32 Jahre";89248;90889;94196;99128;102544;102712;101313;103253;101358;101335;98548;98447;94510;96094;95244;96603;98917;100754;103453;104680;110285;113993;116502;120210;123927;125898;123226;120630;116372;114142;112241;109545;108504;104961;102004;101133;98894;100260;102834;104099;106914;111458;112525;115092;114796;117710;118441;119803
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"33 Jahre";87333;88905;90675;93934;99220;100689;101145;100468;102975;101484;101754;98962;99027;94833;96567;96031;97562;100046;102048;104968;108025;112111;115266;117616;121118;124656;126273;123572;121130;117487;116226;114147;111177;110058;106380;103157;102462;101571;103326;105240;105935;108965;113602;114941;117620;116936;119771;120129
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"34 Jahre";84745;86963;88708;90048;93938;97466;98976;100361;100103;102898;101765;102231;99471;99280;95238;97194;96694;98425;101155;103250;108044;109680;113151;116426;118428;121740;124729;126380;124086;121968;119149;118058;115804;112496;111204;107566;104325;104833;104387;105316;106529;107893;110891;115860;117166;119582;118859;121088
