Jahr,Name,Lebensdaten,Kanton,Election,Left office,Party,Seq,Geburtsort,Reichtum,Akad-Familie,Akademiker,Beruf,Geschlecht
1918–1929,Robert Haab,1865–1939,Zürich,1917-12-13,1929-12-31 00:00:00,FDP/PRD,A07,Wädenswil,1,0,1,Rechtswissenschaft,1
1920–1929,Karl Scheurer,1872–1929,Bern,1919-12-11,1929-11-14 00:00:00,FDP/PRD,B05,Sumiswald,1,1,1,Rechtswissenschaft,1
1920–1928,Ernest Chuard,1857–1942,Waadt,1919-12-11,1928-12-31 00:00:00,FDP/PRD,G07,Corcelles-près-Payerne,1,0,1,Ingenier,1
1920–1934,Jean-Marie Musy,1876–1952,Freiburg,1919-12-11,1934-04-30 00:00:00,CVP/PDC,E10,Albeuve,1,0,1,Rechtswissenschaft,1
1920–1934,Heinrich Häberlin,1868–1947,Thurgau,1920-02-12,1934-03-12 00:00:00,FDP/PRD,C10,Weinfelden,1,1,1,Rechtswissenschaft,1
1929–1944,Marcel Pilet-Golaz,1889–1958,Waadt,1928-12-13,1944-11-07 00:00:00,FDP/PRD,G08,Cossonay,1,1,1,Rechtswissenschaft,1
1930–1940,Rudolf Minger,1881–1955,Bern,1929-12-12,1940-12-31 00:00:00,SVP/UDC,B06,Mülchi,1,0,0,Landwirt,1
1930–1938,Albert Meyer,1870–1953,Zürich,1929-12-12,1938-12-31 00:00:00,FDP/PRD,A08,Fällanden,1,0,1,Journalist,1
1934–1940,Johannes Baumann,1874–1953,Appenzell Ausserrhoden,1934-03-22,1940-12-31 00:00:00,FDP/PRD,C11,Herisau,1,0,1,Rechtswissenschaft,1
1934–1959,Philipp Etter,1891–1977,Zug,1934-03-28,1959-11-19 00:00:00,CVP/PDC,E11,Menzingen,0,0,1,Rechtswissenschaft,1
1935–1940,Hermann Obrecht,1882–1940,Solothurn,1935-04-04,1940-06-20 00:00:00,FDP/PRD,D07,Grenchen,0,0,0,Lehrer,1
1939–1943,Ernst Wetter,1877–1963,Zürich,1938-12-15,1943-12-31 00:00:00,FDP/PRD,A09,Winterthur,0,0,1,Volkswirt,1
1940–1950,Enrico Celio,1889–1980,Tessin,1940-02-22,1950-06-23 00:00:00,CVP/PDC,F06,Quinto,0,0,1,Journalist,1
1940–1947,Walther Stampfli,1884–1965,Solothurn,1940-07-18,1947-11-18 00:00:00,FDP/PRD,D08,Büren SO,0,0,1,Journalist,1
1941–1951,Eduard von Steiger,1881–1962,Bern,1940-12-10,1951-11-09 00:00:00,SVP/UDC,B07,Langnau im Emmental,1,1,1,Rechtswissenschaft,1
1941–1954,Karl Kobelt,1891–1968,St. Gallen,1940-12-10,1954-11-05 00:00:00,FDP/PRD,C12,St.Gallen,0,0,1,Ingenieur,1
1944–1951,Ernst Nobs,1886–1957,Zürich,1943-12-15,1951-11-13 00:00:00,SPS/PSS,A10,Meilen,0,0,0,Journalist,1
1945–1961,Max Petitpierre,1899–1994,Neuenburg,1944-12-14,1961-06-30 00:00:00,FDP/PRD,G09,Neuchâtel,1,1,1,Rechtswissenschaft,1
1948–1954,Rodolphe Rubattel,1896–1961,Waadt,1947-12-11,1954-11-01 00:00:00,FDP/PRD,D09,Villarrzell,1,0,1,Journalist,1
1950–1954,Josef Escher,1885–1954,Wallis,1950-09-14,1954-11-26 00:00:00,CVP/PDC,F07,Simplon Dorf,0,0,1,Rechtswissenschaft,1
1952–1958,Markus Feldmann,1897–1958,Bern,1951-12-13,1958-11-03 00:00:00,SVP/UDC,B08,Thun,1,1,1,Journalist,1
1952–1954,Max Weber,1897–1974,Zürich,1951-12-13,1953-12-08 00:00:00,SPS/PSS,A11,Zürich,0,0,1,Volkswirt,1
1954–1959,Hans Streuli,1892–1970,Zürich,1953-12-22,1959-11-19 00:00:00,FDP/PRD,A12,Zürich,0,0,1,Architekt,1
1955–1959,Thomas Holenstein,1896–1962,St. Gallen,1954-12-16,1959-11-20 00:00:00,CVP/PDC,F08,St.Gallen,0,0,1,Rechtswissenschaft,1
1955–1966,Paul Chaudet,1904–1977,Waadt,1954-12-16,1966-11-28 00:00:00,FDP/PRD,D10,Corsier-sur-Vevey,0,0,0,Landwirt,1
1955–1959,Giuseppe Lepori,1902–1968,Tessin,1954-12-16,1959-11-24 00:00:00,CVP/PDC,C13,Massagno,1,0,1,Journalist,1
1959–1965,Friedrich Traugott Wahlen,1899–1985,Bern,1958-12-11,1965-12-31 00:00:00,SVP/UDC,B09,Gmeis,0,1,1,Agronom,1
1960–1962,Jean Bourgknecht,1902–1964,Freiburg,1959-12-17,1962-09-03 00:00:00,CVP/PDC,E12,Freiburg,1,1,1,Rechtswissenschaft,1
1960–1970,Willy Spühler,1902–1990,Zürich,1959-12-17,1970-01-31 00:00:00,SPS/PSS,A13,Zürich,0,0,1,Volkswirt,1
1960–1971,Ludwig von Moos,1910–1990,Obwalden,1959-12-17,1971-12-31 00:00:00,CVP/PDC,F09,Sachseln,0,0,1,Rechtswissenschaft,1
1960–1973,Hans-Peter Tschudi,1913–2002,Basel-Stadt,1959-12-17,1973-12-31 00:00:00,SPS/PSS,C14,Basel,1,1,1,Rechtswissenschaft,1
1961–1969,Hans Schaffner,1908–2004,Aargau,1961-06-15,1969-12-31 00:00:00,FDP/PRD,G10,Interlaken,1,1,1,Rechtswissenschaft,1
1962–1973,Roger Bonvin,1907–1982,Wallis,1962-09-27,1973-12-31 00:00:00,CVP/PDC,E13,Icogne,1,1,1,Ingenieur,1
1966–1979,Rudolf Gnägi,1917–1985,Bern,1965-12-08,1979-12-31 00:00:00,SVP/UDC,B10,Schwadernau,1,0,1,Rechtswissenschaft,1
1967–1973,Nello Celio,1914–1995,Tessin,1966-12-15,1973-12-31 00:00:00,FDP/PRD,D11,Quinto,0,0,1,Rechtswissenschaft,1
1970–1978,Ernst Brugger,1914–1998,Zürich,1969-12-10,1978-01-31 00:00:00,FDP/PRD,G11,Bellinzona,0,0,0,Lehrer,1
